bbl,address,bldgclass,pv_kw_dc,annual_kwh,avg_daily_kwh,psh_daily_kwh,canopy_area_m2,lat,lon
1003100007,48 LUDLOW STREET,C7,43.90643229051635,54356.16317565924,148.92099500180615,161.57567082910018,219.53216145258173,40.716363544508,-73.9900306950609
1003090008,58 ORCHARD STREET,C7,28.975887168232205,35872.14831427147,98.2798583952643,106.63126477909451,144.879435841161,40.71670132134369,-73.99072741951241
1004080020,67 LUDLOW STREET,C4,27.18941875526194,33660.50041901428,92.2205490931898,100.05706101936394,135.94709377630969,40.7173837041948,-73.98997419677019
1004080014,245 BROOME STREET,C7,26.227488711875864,32469.63102530232,88.95789322000635,96.51715845970318,131.1374435593793,40.717801800422684,-73.98976848389
1004090029,250 BROOME STREET,C7,30.123048464489234,37292.33399903767,102.17077807955526,110.85281834932037,150.61524232244616,40.7181626809048,-73.9897164219282
1003000004,42 ELDRIDGE STREET,C7,25.64786647384533,31752.05869462052,86.99194162909731,94.38414862375082,128.23933236922664,40.71574568301332,-73.99295846058776
1003000005,44 ELDRIDGE STREET,C7,25.19738466501737,31194.362215291505,85.4640060692918,92.72637556726391,125.98692332508685,40.71581018465676,-73.99292541833987
1003000006,46 ELDRIDGE STREET,C7,24.831153743608148,30740.968334586887,84.2218310536627,91.37864577647798,124.15576871804073,40.715874261900616,-73.99289331978176
1003000007,48 ELDRIDGE STREET,C7,30.780924722940586,38106.78480700045,104.4021501561656,113.27380298042135,153.90462361470293,40.71593080963599,-73.99283608481768
1003060035,107 HESTER STREET,C7,26.838719534636965,33226.334783880564,91.0310542024125,98.76648788746404,134.19359767318483,40.71664773693763,-73.99291185299752
1003060032,73 ELDRIDGE STREET,C7,31.082544726378412,38480.190371256474,105.42517909933281,114.38376459307256,155.41272363189205,40.71691109764401,-73.99287486971843
1003060031,75 ELDRIDGE STREET,C7,22.515134966076907,27873.73708800321,76.36640298083071,82.85569667516302,112.57567483038453,40.716965651574206,-73.99283472230087
1003060007,74 FORSYTH STREET,C7,30.37888244589068,37609.05646801266,103.03851087126758,111.79428740087769,151.8944122294534,40.717152058887045,-73.99318157873907
1003060028,81 ELDRIDGE STREET,C7,27.379032673769355,33895.24245012646,92.86367794555196,100.75484023947122,136.89516336884677,40.71716651141658,-73.99273719780395
1003060009,78 FORSYTH STREET,C7,29.761345851029745,36844.54616357482,100.94396209198581,109.52175273178946,148.80672925514872,40.71727833580819,-73.99311359606529
1003060023,289 GRAND STREET,C7,33.722783479223914,41748.80594727921,114.38029026651837,124.099843203544,168.61391739611958,40.71749315740368,-73.99245529322447
1003060001,119 HESTER STREET,C7,40.75932673007323,50460.04649183065,138.24670271734425,149.99432236666948,203.79663365036612,40.7168037716258,-73.99341068844862
1004230025,111 CHRYSTIE STREET,C7,29.704029678050855,36773.58874142696,100.7495581956903,109.31082921522714,148.52014839025426,40.71855796931986,-73.99396502442939
1004130049,75 ORCHARD STREET,C7,46.428505141611424,57478.48936531494,157.47531332962998,170.85689892113004,232.1425257080571,40.71771414804562,-73.99069052804776
1004130045,81 ORCHARD STREET,C7,46.122038391846615,57099.08352910611,156.43584528522223,169.72910128199555,230.61019195923308,40.71784322048304,-73.99062406410361
1004130014,277 BROOME STREET,C7,52.88377523639136,65470.1137426525,179.37017463740412,194.6122928699202,264.41887618195676,40.71822968732386,-73.99123156036471
1004130012,281 BROOME STREET,C7,40.861463385313,50586.491671017495,138.59312786580136,150.37018525795185,204.307316926565,40.718295397079594,-73.99137269814874
1004130002,108 ELDRIDGE STREET,C7,40.002897311287974,49523.586871374515,135.68105992157402,147.21066210553974,200.01448655643986,40.718026134135215,-73.99178595463928
1004130004,112 ELDRIDGE STREET,C7,33.85835169299631,41916.63939592943,114.84010793405324,124.59873423022641,169.29175846498154,40.71812992303981,-73.99175882592122
1004180047,109 ELDRIDGE STREET,C7,29.078767825465867,35999.514567926744,98.62880703541573,107.0098655977144,145.39383912732933,40.718210795301964,-73.99221041776305
1004090031,252 BROOME STREET,C7,29.95402692180096,37083.08532918959,101.59749405257422,110.23081907222752,149.7701346090048,40.71819429546926,-73.9898177556704
1004090033,254 BROOME STREET,C7,29.589306572427233,36631.561536664914,100.36044256620525,108.88864818653222,147.94653286213617,40.718224403226934,-73.98991702483391
1004090034,256 BROOME STREET,C7,37.85485497441841,46864.31045832999,128.3953711187123,139.30586630585975,189.27427487209204,40.71826649130351,-73.99001433406345
1004140059,260 BROOME STREET,C7,36.132216210792635,44731.68366896128,122.5525579971542,132.9665556557169,180.66108105396316,40.71830541407869,-73.99028467797031
1004140059,260 BROOME STREET,C7,36.132216210792635,44731.68366896128,122.5525579971542,132.9665556557169,180.66108105396316,40.71831710223246,-73.99036445965497
1004180046,111 ELDRIDGE STREET,C7,29.320413018726136,36298.671317182954,99.44841456762454,107.89911990891217,146.60206509363067,40.718274803747164,-73.99216798639338
1004130010,285 BROOME STREET,C7,40.34551202116655,49947.74388220419,136.8431339238471,148.4714842378929,201.72756010583274,40.71834069291378,-73.99152537357087
1004130008,289 BROOME STREET,C7,47.622744661136124,58956.95789048652,161.5259120287302,175.25170035298095,238.1137233056806,40.718378494927954,-73.99168269983358
1004180044,291 BROOME STREET,C7,25.69065815684619,31805.034798175584,87.13708163883722,94.54162201719397,128.45329078423094,40.71845897425468,-73.99195286037146
1004140028,284 BROOME STREET,C7,42.12678938122925,52152.96525396181,142.88483631222414,155.02658492292366,210.63394690614624,40.71863776418166,-73.99129197361168
1004150078,80 DELANCEY STREET,C7,73.00887211350917,90384.98367652435,247.63009226445027,268.67264937771375,365.0443605675458,40.71936350783102,-73.98986650529721
1004140003,138 ELDRIDGE STREET,C7,27.959263290481058,34613.56795361555,94.83169302360425,102.89008890897028,139.79631645240528,40.71901468100643,-73.99129701271468
1004140018,61 DELANCEY STREET,C7,33.17649802797772,41072.50455863642,112.52740974968883,122.08951274295801,165.8824901398886,40.71910658482501,-73.99087439599018
1004140005,55 DELANCEY STREET,C7,57.00320749594019,70569.97087997396,193.3423859725314,209.7718035850599,285.0160374797009,40.71917101290244,-73.9911842068608
1004100025,109 LUDLOW STREET,C7,40.560896483165315,50214.38984615866,137.57367081139358,149.26409905804834,202.80448241582656,40.719417052336674,-73.98893560060175
1004100002,122 ORCHARD STREET,C7,33.2633512246916,41180.0288161682,112.8219967566252,122.40913250686506,166.316756123458,40.719460222451495,-73.98930372521234
1004100022,117 LUDLOW STREET,C7,22.21837947625724,27506.353791606463,75.35987340166155,81.76363647262664,111.0918973812862,40.719601433342,-73.98884455666838
1004150035,123 ALLEN STREET,C7,33.88878470443941,41954.31546409599,114.94333003861915,124.71072771233702,169.44392352219703,40.71987622603903,-73.99047717931005
1004150033,125 ALLEN STREET,C7,26.64726960850179,32989.31977532522,90.38169801458963,98.06195215928659,133.23634804250895,40.71993341118244,-73.9904237912669
1004100011,85 RIVINGTON STREET,C7,36.86751650589699,45641.98543430047,125.04653543643964,135.67246074170092,184.33758252948493,40.72008442309993,-73.9890845383207
1003530020,121 RIVINGTON STREET,C7,51.56017464182086,63831.49620657422,174.8808115248609,189.74144268190076,257.8008732091043,40.719579419536174,-73.98734807364927
1004100037,110 LUDLOW STREET,C7,27.36439364989137,33877.11933856551,92.814025585111,100.70096863160023,136.82196824945683,40.719216789737104,-73.98855194804946
1004100043,122 LUDLOW STREET,C7,26.240394499587026,32485.60839048874,89.00166682325681,96.56465175848025,131.20197249793512,40.7196046412177,-73.98835366128883
1004100044,124 LUDLOW STREET,C7,25.976945561734865,32159.458605427764,88.10810576829525,95.5951596671843,129.8847278086743,40.71966853209699,-73.98832103224657
1004100018,123 LUDLOW STREET,C7,39.863077469880466,49350.48990771201,135.20682166496442,146.69612508916012,199.3153873494023,40.71978055379015,-73.98875337959454
1004100046,101 RIVINGTON STREET,C7,49.2393049270716,60958.259499714644,167.0089301362045,181.20064213162348,246.19652463535797,40.71986106349483,-73.98830824276521
