bbl,address,pv_kw_dc,annual_kwh,avg_daily_kwh,psh_daily_kwh,canopy_area_m2,roof_area_m2,lat,lon
1004110039,86 RIVINGTON STREET,28.511657785748778,35297.43233875699,96.70529407878627,104.9229006515555,142.55828892874388,167.71563403381631,40.72042930691904,-73.98891186621059
1004160069,78 RIVINGTON STREET,43.04135741141828,53285.200475335834,145.98685061735844,158.3921952740193,215.2067870570914,253.184455361284,40.72049196476106,-73.98928892807741
1004160068,145 ORCHARD STREET,30.842054003350082,38182.4628561474,104.60948727711617,113.4987587323283,154.2102700167504,181.4238470785299,40.72056928195785,-73.98925094668124
1004160067,147 ORCHARD STREET,30.067718631417655,37223.83566569506,101.98311141286317,110.64920456361698,150.33859315708827,176.86893312598622,40.72063328950277,-73.98921766494232
1004160066,149 ORCHARD STREET,31.51971349349702,39021.40530494931,106.90795973958714,115.99254565606903,157.59856746748508,185.41007937351188,40.720697357184946,-73.98918553752398
1004160065,151 ORCHARD STREET,28.688550410405227,35516.42540808167,97.30527509063471,105.57386551029124,143.44275205202612,168.7561788847366,40.72076200719624,-73.98915273934877
1004110042,138 LUDLOW STREET,47.76415876707874,59132.02855364348,162.005557681215,175.77210426284978,238.8207938353937,280.9656398063455,40.72041032848117,-73.98795011016698
1004110027,143 LUDLOW STREET,32.83190775532308,40645.901801089974,111.35863507147938,120.82142053958893,164.1595387766154,193.1288691489593,40.72064343036053,-73.98830799753242
1004110003,150 ORCHARD STREET,35.946188575064184,44501.38145592946,121.92159302994374,132.28197395623621,179.73094287532092,211.44816808861285,40.720663177409904,-73.98866916339173
1004110005,154 ORCHARD STREET,30.976094689530143,38348.405225638315,105.0641239058584,113.99202845747094,154.8804734476507,182.21232170311848,40.72075720633725,-73.98849277839263
1004110005,154 ORCHARD STREET,30.976094689530143,38348.405225638315,105.0641239058584,113.99202845747094,154.8804734476507,182.21232170311848,40.72075720633725,-73.98849277839263
1004110005,154 ORCHARD STREET,30.976094689530143,38348.405225638315,105.0641239058584,113.99202845747094,154.8804734476507,182.21232170311848,40.72080758783717,-73.98866372514438
1004110005,154 ORCHARD STREET,30.976094689530143,38348.405225638315,105.0641239058584,113.99202845747094,154.8804734476507,182.21232170311848,40.72080758783717,-73.98866372514438
1004110021,153 LUDLOW STREET,26.09578134272498,32306.577302293525,88.51117069121514,96.03247534122792,130.4789067136249,153.50459613367636,40.72095156235237,-73.98815774599203
1004250026,17 RIVINGTON STREET,35.12517089664438,43484.961570045736,119.13688101382394,129.26062889965132,175.62585448322187,206.6186523332022,40.72112931952222,-73.99252952698015
1004260044,8 RIVINGTON STREET,37.988385290170825,47029.62098923148,128.84827668282597,139.79725786782862,189.9419264508541,223.4610899421813,40.72157893642192,-73.99271603830971
1004260002,217 BOWERY,36.03060000914541,44605.882811322015,122.207898113211,132.5926080336551,180.15300004572703,211.94470593614946,40.72170460916445,-73.99313438409717
1004920007,202 ELIZABETH STREET,38.17123008015788,47255.98283923546,129.46844613489168,140.470126694981,190.8561504007894,224.53664753034047,40.72196166629027,-73.99420728513256
1004930009,228 MOTT STREET,26.581487011313705,32907.88092000637,90.15857786303116,97.81987220163444,132.90743505656852,156.3616883018453,40.72235554022424,-73.99496851959273
1004930010,230 MOTT STREET,25.055606124863527,31018.840382581046,84.98312433583848,92.20463053949777,125.27803062431762,147.38591838155014,40.72241307960413,-73.99491477236546
1004930012,234 MOTT STREET,24.94213355645419,30878.36134289029,84.59825025449395,91.78705148775143,124.71066778227095,146.71843268502465,40.72254399759328,-73.99487460912096
1004930017,20 PRINCE STREET,64.82579403493092,80254.33301524448,219.87488497327254,238.55892204854578,324.12897017465457,381.328200205476,40.72264932245588,-73.99453430729919
1005070001,13 PRINCE STREET,38.81004901371674,48046.84067898133,131.6351799424146,142.8209803704776,194.0502450685837,228.29440596303965,40.72282764194666,-73.99395294165762
1004260022,13 STANTON STREET,19.765083033121122,24469.17279500395,67.03882957535329,72.73550556188573,98.8254151656056,116.26519431247719,40.72246127201137,-73.99233196289165
1004930013,30 PRINCE STREET,39.46285354261144,48855.01268575296,133.8493498239807,145.22330103681008,197.31426771305718,232.13443260359668,40.72277019028673,-73.9948849121006
1005080046,17 PRINCE STREET,21.26500434657818,26326.075381063787,72.1262339207227,78.2552159954077,106.3250217328909,125.0882608622246,40.72293516494283,-73.99420021206113
1002920010,28 FORSYTH STREET,36.26013997969111,44890.05329485759,122.98644738317148,133.4373151252633,181.30069989845555,213.29494105700653,40.71521829436441,-73.99417352642898
1003030020,122 HESTER STREET,33.427434039404396,41383.163340782645,113.37852970077437,123.01295726500817,167.13717019702196,196.6319649376729,40.716926067408814,-73.99472246573242
1003040035,75 CHRYSTIE STREET,71.18476211234868,88126.73549508766,241.44311094544565,261.9599245734432,355.9238105617434,418.73389477852163,40.71719904407597,-73.99467612243949
