name,bbl,shape_area,construction_year,ground_elevation,mappluto_bbl,objectid,feature_code,shape_length,height_roof,last_status_type,bin,last_edited_date,geom_source,doitt_id,pv_kw_dc,annual_kwh,avg_daily_kwh,psh_daily_kwh,canopy_area_m2,address,bldgclass,roof_area_m2_actual,numfloors,yearbuilt,lon,lat
,1004130045.0,321.2421875,1900,42,1002920026,319572,2100,83.995632800768675,61.1,Constructed,1003771,2017-08-22 18:55:13+00:00,Photogrammetric,92002,46.122038391846615,57099.08352910611,106.31013706234124,169.72910128199555,230.61019195923308,81 ORCHARD STREET,C7,,6.0,1910.0,-73.99394320532646,40.714785926513365
,1004080014.0,100.57421875,1915,25,1001640048,582185,2100,40.252009247741896,60.17,Constructed,1079265,2017-08-22 17:42:38+00:00,Photogrammetric,778906,26.227488711875864,32469.63102530232,135.00320199439454,96.51715845970318,131.1374435593793,245 BROOME STREET,C7,,6.0,1900.0,-73.99912340072116,40.71418592838185
,1004140018.0,307.3671875,1915,29,1001640048,751474,2100,77.859431301518811,52.92281248,Constructed,1079264,2017-08-22 17:44:36+00:00,Photogrammetric,454125,33.17649802797772,41072.50455863642,135.00320199439454,122.089512742958,165.8824901398886,61 DELANCEY STREET,C7,,6.0,1900.0,-73.99895757898067,40.71420354101967
,1003080024.0,291.76953125,1910,21,1001640066,200103,2100,69.764255855220156,68.05520164,Constructed,1001829,2017-08-22 18:57:41+00:00,Photogrammetric,710645,27.82501230356336,34447.36523181144,96.55482026390207,102.39604527711316,139.1250615178168,47 ORCHARD STREET,C7,,6.0,1910.0,-73.99942969226028,40.71439205924193
,1004140003.0,345.4765625,1915,21,1001640001,111548,2100,91.346415927002056,68.8696231,Constructed,1001805,2017-08-22 19:41:33+00:00,Photogrammetric,454149,27.959263290481054,34613.56795361555,114.32905573642903,102.89008890897028,139.79631645240528,138 ELDRIDGE STREET,C7,,6.0,1900.0,-73.9993913988089,40.71454617070208
,1003090025.0,247.03125,1915,19,1001640003,854224,2100,76.958967191832514,68.58215512,Constructed,1001807,2017-08-22 19:05:02+00:00,Photogrammetric,851083,24.63924778859039,30503.388762274903,204.95223247678447,90.67243186201264,123.19623894295194,45 LUDLOW STREET,C7,,6.0,1910.0,-73.9994222129336,40.71467400093142
,1004080020.0,372.30859375,1915,18,1001640003,285187,2100,93.713879296457634,69.61904977,Constructed,1084852,2017-08-22 18:03:06+00:00,Photogrammetric,254031,27.18941875526194,33660.50041901428,204.95223247678447,100.05706101936394,135.94709377630969,67 LUDLOW STREET,C4,,6.0,1900.0,-73.99943367438944,40.71476384028605
,1004130010.0,148.26171875,1920,35,1001620018,767883,2100,51.643291857806865,69.09,Constructed,1083326,2017-08-22 17:44:24+00:00,Photogrammetric,545077,40.34551202116654,49947.74388220418,125.64951730050655,148.47148423789287,201.7275601058327,285 BROOME STREET,C7,,6.0,1900.0,-73.9986951200332,40.71482929183992
,1002980015.0,814.62109375,1915,29,1001640032,317872,2100,156.17681355335543,68.9495503,Constructed,1001818,2017-08-22 17:35:32+00:00,Photogrammetric,718032,58.12010918982411,71952.69517700226,269.5803720247034,213.88200181855277,290.60054594912054,58 HESTER STREET,C7,,6.0,1900.0,-73.99911904730546,40.71500535541581
,1004090027.0,332.2421875,1915,28,1001640029,709413,2100,85.389552342961309,67.66208232,Constructed,1001816,2017-08-22 18:09:26+00:00,Photogrammetric,237297,29.1718330111322,36114.72926778166,109.9473379699655,107.35234548096648,145.85916505566098,248 BROOME STREET,C7,,6.0,1920.0,-73.99897795399252,40.71524213398357
,1004140059.0,612.375,1915,25,1001640013,956145,2100,101.66018750669903,62.0656301,Constructed,1001810,2017-08-22 17:27:22+00:00,Photogrammetric,493974,36.13221621079264,44731.68366896129,202.64952999979752,132.96655565571692,180.6610810539632,260 BROOME STREET,C7,,6.0,1900.0,-73.99934050569803,40.71533257715788
