bbl,address,bldgclass,numfloors,yearbuilt,roof_area_m2_actual,canopy_area_m2,pv_kw_dc,annual_kwh,avg_daily_kwh,psh_daily_kwh,lon,lat
,,,,,413.69,351.64,70.33,87065.0,238.5,3.39,-73.98170459860043,40.72188061138998
,,,,,119.54,101.61,20.32,25157.0,68.9,3.39,-73.98340553581504,40.720837246858665
,,,,,192.63,163.73,32.75,40540.0,111.1,3.39,-73.98053181709773,40.721422483172255
,,,,,113.26,96.27,19.25,23836.0,65.3,3.39,-73.98342331691379,40.7217020303337
,,,,,238.45,202.68,40.54,50185.0,137.5,3.39,-73.98282116737515,40.71859369942779
,,,,,93.95,79.86,15.97,19772.0,54.2,3.39,-73.98177570553003,40.71953791721186
,,,,,178.28,151.54,30.31,37520.0,102.8,3.39,-73.98242548343427,40.72075497431559
,,,,,244.63,207.94,41.59,51485.0,141.1,3.39,-73.98107667834377,40.7213830105507
,,,,,98.15,83.43,16.69,20656.0,56.6,3.39,-73.98360238997864,40.72115223270103
,,,,,106.19,90.26,18.05,22348.0,61.2,3.39,-73.98415002080223,40.71984934160184
,,,,,63.89,54.3,10.86,13445.0,36.8,3.39,-73.98329299659581,40.72108585513717
,,,,,125.83,106.95,21.39,26481.0,72.6,3.39,-73.98257281158045,40.72147848235284
,,,,,186.99,158.94,31.79,39354.0,107.8,3.39,-73.98060869897739,40.721277015373644
,,,,,983.41,835.9,167.18,206968.0,567.0,3.39,-73.98302702486315,40.72002535934635
,,,,,218.29,185.54,37.11,45941.0,125.9,3.39,-73.98121894662142,40.72170980729205
,,,,,537.72,457.06,91.41,113168.0,310.0,3.39,-73.98145861966647,40.719988932521346
,,,,,181.09,153.93,30.79,38112.0,104.4,3.39,-73.98246423984779,40.71899871903293
,,,,,45.98,39.08,7.82,9677.0,26.5,3.39,-73.9806646172609,40.72137113524128
,,,,,257.21,218.62,43.72,54132.0,148.3,3.39,-73.98242921849318,40.71940766651262
,,,,,636.93,541.39,108.28,134049.0,367.3,3.39,-73.98403066663833,40.72062082202623
,,,,,844.11,717.49,143.5,177651.0,486.7,3.39,-73.98136819074446,40.72140134339868
,,,,,126.88,107.85,21.57,26703.0,73.2,3.39,-73.9824999527153,40.721441495386934
,,,,,482.02,409.72,81.94,101446.0,277.9,3.39,-73.98319581957185,40.72040538707205
,,,,,668.0,567.8,113.56,140587.0,385.2,3.39,-73.98036958884889,40.72097185981477
,,,,,206.28,175.33,35.07,43413.0,118.9,3.39,-73.98134704871086,40.72174474231348
,,,,,239.22,203.34,40.67,50346.0,137.9,3.39,-73.98056755394732,40.721027248458704
,,,,,162.67,138.27,27.65,34235.0,93.8,3.39,-73.98297787120492,40.72162366088672
,,,,,114.04,96.94,19.39,24001.0,65.8,3.39,-73.98225675635986,40.72134966193349
,,,,,88.91,75.57,15.11,18711.0,51.3,3.39,-73.98118062265016,40.72120006693152
,,,,,187.18,159.1,31.82,39394.0,107.9,3.39,-73.9838385309409,40.72105056807112
